SEIKYUSAKICODE5,tokuisakijoho::meisho,tokuisakijoho::yubinBango,tokuisakijoho::jusho1
ｱ1514,朝日練染　株式会社,615-0057,京都府京都市右京区西院東貝川町６６
ｲ0719,株式会社　石留石材　柊野工場,603-8016,京都府京都市北区上賀茂坂口町２－１
ｲ1540,有限会社　石崎産業,601-8021,京都府京都市南区東九条宇賀辺町３番地
ｲ8007,株式会社　今村青果,553-0005,大阪府大阪市福島区野田１丁目１ー８６
ｴ1553,株式会社　エムデザイン,604-0966,京都府京都市中京区俵屋２９２
ｴ2100,株式会社　エスワン,600-8012,京都府京都市下京区西石垣町四条下ル斉藤町１２７
ｵ0532,尾崎紙工　株式会社,612-8418,京都府京都市伏見区竹田向代町 ９４ー１
ｶ0768,株式会社　カトウ住宅サービス,607-8214,京都市山科区勧修寺平田町３８
ｷ0306,京都駅近鉄名店街商店街振興組合,600-8215,京都市下京区東塩小路釜殿町３１－１
ｷ2291,京都建材商共同組合,603-8043,京都市北区上賀茂池端町５４
ｹ1513,ＫＹ.ＴＲＡＤＥ　株式会社,601-8445,京都市南区西九条菅田町２８番地７
ｺ0164,株式会社　コハラ,601-8390,京都府京都市南区吉祥院流作町３３－４
ｼ1574,四条会計税理士法人,600-8498,京都府京都市下京区四条通堀川東入
ﾂ0040,株式会社　辻安商店,604-0025,京都市中京区衣棚通り二条下る上妙覚寺町
ﾃ0196,株式会社　日本解技,601-8393,京都市南区吉祥院中河原里西町1-1
ﾄ1551,土井　朋美,610-0341,京都府京田辺市薪40-12
ﾊ1606,長谷川事務所,600-8804,京都市下京区中堂寺前田町２３
ﾊ1608,株式会社　服部製作所,611-0022,京都府宇治市白川宮ノ後２番地
ﾊ4017,灰一　株式会社　山科営業所,607-8111,京都市山科区小山南溝町１２－４
ﾏ1543,株式会社　松　輝,610-0302,綴喜郡井手町大字井手小字 合薮６０
ﾐ1525,水野　由佳子　税理士事務所,603-8333,京都市北区大将軍東鷹司町１２８番地
ﾓ1509,有限会社　森三,604-8162,京都市中京区七観音町６２６－２０２
ﾔ2132,山科セントラルハイツ管理組合法人,607-8164,京都市山科区椥辻西潰９ー１
,株式会社東洋,607-8145,京都市山科区東野八反畑町21
